Train_Id,Est_arrival_time,Origin,Destination,Delay_minutes,Delay_reason,Cancel_reason
1131374EUSTON__,13:41,Manchester Piccadilly,London Euston,22,,
1118710EUSTON__,13:51,Watford Junction,London Euston,0,,
1121838EUSTON__,13:52,Tring,London Euston,0,,
1115211EUSTON__,13:54,Glasgow Central,London Euston,0,,
1131377EUSTON__,14:03,Liverpool Lime Street,London Euston,5,,
1122580EUSTON__,14:06,Birmingham New Street,London Euston,3,,
1118716EUSTON__,14:06,Watford Junction,London Euston,0,,
1121067EUSTON__,14:07,Milton Keynes Central,London Euston,0,,
1131379EUSTON__,14:09,Manchester Piccadilly,London Euston,4,,
1115090EUSTON__,14:12,Glasgow Central,London Euston,3,,
1120429EUSTON__,14:17,Birmingham New Street,London Euston,0,,
1118721EUSTON__,14:21,Watford Junction,London Euston,0,,
1121847EUSTON__,14:22,Tring,London Euston,0,,
1120404EUSTON__,14:24,Crewe,London Euston,0,,
1131382EUSTON__,14:27,Manchester Piccadilly,London Euston,0,,
1131385EUSTON__,14:35,Chester,London Euston,2,,
1118727EUSTON__,14:36,Watford Junction,London Euston,0,,
1121249EUSTON__,14:37,Milton Keynes Central,London Euston,0,,
1131388EUSTON__,14:41,Manchester Piccadilly,London Euston,0,,
1120433EUSTON__,14:48,Birmingham New Street,London Euston,0,,
1118731EUSTON__,14:51,Watford Junction,London Euston,0,,
1121857EUSTON__,14:52,Tring,London Euston,0,,
1115214EUSTON__,14:54,Edinburgh,London Euston,0,,
1131390EUSTON__,15:03,Liverpool Lime Street,London Euston,0,,
1130080EUSTON__,15:06,Birmingham New Street,London Euston,0,,
1107494EUSTON__,15:06,Watford Junction,London Euston,0,,
1121075EUSTON__,15:07,Milton Keynes Central,London Euston,0,,
1131392EUSTON__,15:09,Manchester Piccadilly,London Euston,0,,
1115093EUSTON__,15:12,Glasgow Central,London Euston,0,,
1120438EUSTON__,15:17,Birmingham New Street,London Euston,0,,
1118736EUSTON__,15:21,Watford Junction,London Euston,0,,
1121867EUSTON__,15:22,Tring,London Euston,0,,
1120414EUSTON__,15:24,Crewe,London Euston,0,,
1131394EUSTON__,15:27,Manchester Piccadilly,London Euston,0,,
1118741EUSTON__,15:36,Watford Junction,London Euston,0,,
1121252EUSTON__,15:37,Milton Keynes Central,London Euston,0,,
1131397EUSTON__,15:41,Manchester Piccadilly,London Euston,0,,
1120443EUSTON__,15:49,Birmingham New Street,London Euston,0,,
1118745EUSTON__,15:51,Watford Junction,London Euston,0,,
1131374EUSTON__,13:41,Manchester Piccadilly,London Euston,22,,
1131377EUSTON__,14:03,Liverpool Lime Street,London Euston,4,,
1122580EUSTON__,14:06,Birmingham New Street,London Euston,3,,
1118716EUSTON__,14:06,Watford Junction,London Euston,-3,,
1121067EUSTON__,14:07,Milton Keynes Central,London Euston,0,,
1131379EUSTON__,14:09,Manchester Piccadilly,London Euston,2,,
1115090EUSTON__,14:12,Glasgow Central,London Euston,2,,
1120429EUSTON__,14:17,Birmingham New Street,London Euston,2,,
1118721EUSTON__,14:21,Watford Junction,London Euston,0,,
1121847EUSTON__,14:22,Tring,London Euston,0,,
1120404EUSTON__,14:24,Crewe,London Euston,0,,
1131382EUSTON__,14:27,Manchester Piccadilly,London Euston,0,,
1131385EUSTON__,14:35,Chester,London Euston,2,,
1118727EUSTON__,14:36,Watford Junction,London Euston,0,,
1121249EUSTON__,14:37,Milton Keynes Central,London Euston,0,,
1131388EUSTON__,14:41,Manchester Piccadilly,London Euston,0,,
1120433EUSTON__,14:48,Birmingham New Street,London Euston,0,,
1118731EUSTON__,14:51,Watford Junction,London Euston,0,,
1121857EUSTON__,14:52,Tring,London Euston,0,,
1115214EUSTON__,14:54,Edinburgh,London Euston,0,,
1131390EUSTON__,15:03,Liverpool Lime Street,London Euston,0,,
1130080EUSTON__,15:06,Birmingham New Street,London Euston,0,,
1107494EUSTON__,15:06,Watford Junction,London Euston,0,,
1121075EUSTON__,15:07,Milton Keynes Central,London Euston,0,,
1131392EUSTON__,15:09,Manchester Piccadilly,London Euston,0,,
1115093EUSTON__,15:12,Glasgow Central,London Euston,0,,
1120438EUSTON__,15:17,Birmingham New Street,London Euston,0,,
1118736EUSTON__,15:21,Watford Junction,London Euston,0,,
1121867EUSTON__,15:22,Tring,London Euston,0,,
1120414EUSTON__,15:24,Crewe,London Euston,0,,
1131394EUSTON__,15:27,Manchester Piccadilly,London Euston,0,,
1118741EUSTON__,15:36,Watford Junction,London Euston,0,,
